Vehicle_Type,Vehicle_Route_Name,Latitude,Longitude,ID,Waypoint_ID
JEEP,SANTA MARIA-SAMPOL_2.1,14.82455000,120.97274000,TP106,SANTA MARIA-SAMPOL_2.1_TP106
JEEP,SANTA MARIA-SAMPOL_2.1,14.82464000,120.97290000,TP107,SANTA MARIA-SAMPOL_2.1_TP107
JEEP,SANTA MARIA-SAMPOL_2.1,14.82492000,120.97338000,TP108,SANTA MARIA-SAMPOL_2.1_TP108
JEEP,SANTA MARIA-SAMPOL_2.1,14.82498000,120.97362000,TP109,SANTA MARIA-SAMPOL_2.1_TP109
JEEP,SANTA MARIA-SAMPOL_2.1,14.82500000,120.97367000,TP110,SANTA MARIA-SAMPOL_2.1_TP110
JEEP,SANTA MARIA-SAMPOL_2.1,14.82501000,120.97379000,TP111,SANTA MARIA-SAMPOL_2.1_TP111
JEEP,SANTA MARIA-SAMPOL_2.1,14.82501000,120.97419000,TP112,SANTA MARIA-SAMPOL_2.1_TP112
JEEP,SANTA MARIA-SAMPOL_2.1,14.82502000,120.97426000,TP113,SANTA MARIA-SAMPOL_2.1_TP113
JEEP,SANTA MARIA-SAMPOL_2.1,14.82504000,120.97436000,TP114,SANTA MARIA-SAMPOL_2.1_TP114
JEEP,SANTA MARIA-SAMPOL_2.1,14.82508000,120.97450000,TP115,SANTA MARIA-SAMPOL_2.1_TP115
JEEP,SANTA MARIA-SAMPOL_2.1,14.82518000,120.97468000,TP116,SANTA MARIA-SAMPOL_2.1_TP116
JEEP,SANTA MARIA-SAMPOL_2.1,14.82533000,120.97483000,TP117,SANTA MARIA-SAMPOL_2.1_TP117
JEEP,SANTA MARIA-SAMPOL_2.1,14.82558000,120.97509000,TP118,SANTA MARIA-SAMPOL_2.1_TP118
JEEP,SANTA MARIA-SAMPOL_2.1,14.82568000,120.97519000,TP119,SANTA MARIA-SAMPOL_2.1_TP119
JEEP,SANTA MARIA-SAMPOL_2.1,14.82579000,120.97529000,TP120,SANTA MARIA-SAMPOL_2.1_TP120
JEEP,SANTA MARIA-SAMPOL_2.1,14.82589000,120.97540000,TP121,SANTA MARIA-SAMPOL_2.1_TP121
JEEP,SANTA MARIA-SAMPOL_2.1,14.82601000,120.97558000,TP122,SANTA MARIA-SAMPOL_2.1_TP122
JEEP,SANTA MARIA-SAMPOL_2.1,14.82610000,120.97582000,TP123,SANTA MARIA-SAMPOL_2.1_TP123
JEEP,SANTA MARIA-SAMPOL_2.1,14.82626000,120.97633000,TP124,SANTA MARIA-SAMPOL_2.1_TP124
JEEP,SANTA MARIA-SAMPOL_2.1,14.82629000,120.97641000,TP125,SANTA MARIA-SAMPOL_2.1_TP125
